ID,TARGET,oof_xgb_5cv_5seed,oof_seed_42,oof_seed_2024,oof_seed_3407,oof_seed_8803,oof_seed_9187
1,0,0.0342795267701149,0.039311543107032776,0.03502156212925911,0.02974753826856613,0.03036218136548996,0.03695480898022652
3,0,0.013201747275888921,0.014125468209385872,0.013405210338532925,0.011292172595858574,0.014074970968067646,0.013110914267599583
4,0,0.002586083672940731,0.002249200362712145,0.002774188993498683,0.002828315831720829,0.002711980137974024,0.0023667330387979746
8,0,0.015244071744382382,0.017392337322235107,0.00963751133531332,0.01870047114789486,0.013024706393480301,0.01746533252298832
10,0,0.00831933976151049,0.00923244096338749,0.013101422227919102,0.0034897977020591497,0.00618732301518321,0.009585714899003506
13,0,0.012261116690933703,0.01218473445624113,0.012753399088978767,0.011004433035850525,0.012497500516474247,0.012865516357123852
14,0,0.020464635640382766,0.019334889948368073,0.019473101943731308,0.022738728672266006,0.021447472274303436,0.01932898536324501
18,0,0.010521745029836892,0.011998428031802177,0.007369923871010542,0.010636787861585617,0.012098858132958412,0.010504727251827717
20,0,0.191684553027153,0.18958963453769684,0.18623937666416168,0.20294640958309174,0.1808590441942215,0.19878830015659332
23,0,0.007332714088261127,0.005730115808546543,0.006690517999231815,0.008111899718642235,0.007881795056164265,0.00824924185872078
25,0,0.009051962289959192,0.011112933047115803,0.013532365672290325,0.0067062098532915115,0.007748384494334459,0.006159918382763863
26,0,0.04247519671916962,0.03536238148808479,0.03996392339468002,0.043720416724681854,0.05186102166771889,0.041468240320682526
29,0,0.0368624173104763,0.041853778064250946,0.03496753051877022,0.03955719247460365,0.03128048777580261,0.036653097718954086
31,0,0.0011438249843195082,0.0006790157058276236,0.002085435204207897,0.0012092918623238802,0.0007580207311548293,0.0009873614180833101
32,0,0.022450093738734724,0.018430382013320923,0.009624757803976536,0.03365764766931534,0.02323463000357151,0.027303051203489304
34,0,0.03329259529709816,0.031131066381931305,0.03365495800971985,0.03419455140829086,0.031296610832214355,0.03618578985333443
36,0,0.1508827656507492,0.15721982717514038,0.14627768099308014,0.15262365341186523,0.14961783587932587,0.1486748307943344
